filename,ImageID,url,thumburl,hits,miss,fa,cr,HR,FAR,score,Number of edges,Entropy,Feature congestion,Number of distinct colors,Familiarity,Realism,Happiness,Clutter,Interestingness,Author,Paper Title,Paper URL,Paper DOI,First Page,Last Page,Year
sci1016.png,I1124,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci1016.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci1016.png,30,35,9,117,0.4615,0.0714,1.37,9,4.93,2.09,2,3.5,3.4,4.5,4.4,4.3,Ingo Wald;Gregory P. Johnson;J. Amstutz;Carson Brownlee;Aaron Knoll;J. Jeffers;J. Gunther;Paul A. Navrátil,OSPRay - A CPU Ray Tracing Framework for Scientific Visualization,http://dx.doi.org/10.1109/TVCG.2016.2599041,10.1109/TVCG.2016.2599041,931,940,2016
sci444.png,I997,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci444.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci444.png,31,36,10,126,0.4627,0.0735,1.36,5.54,5.06,2.09,3,4.1,4,4,3.7,4.8,Simon Schröder;John A. Peterson;Harald Obermaier;Louise H. Kellogg;Kenneth I. Joy;Hans Hagen,Visualization of Flow Behavior in Earth Mantle Convection,http://dx.doi.org/10.1109/TVCG.2012.283,10.1109/TVCG.2012.283,2198,2207,2012
sci770.png,I1071,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci770.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci770.png,30,48,8,155,0.3846,0.0491,1.36,13.25,5.79,5.14,2,3.4,4,3.6,3.4,4,Attila Gyulassy;Aaron Knoll;Kah Chun Lau;Bei Wang;Peer-Timo Bremer;Michael E. Papka;Larry A. Curtiss;Valerio Pascucci,Interstitial and Interlayer Ion Diffusion Geometry Extraction in Graphitic Nanosphere Battery Materials,http://dx.doi.org/10.1109/TVCG.2015.2467432,10.1109/TVCG.2015.2467432,916,925,2015
sci584.png,I1024,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci584.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci584.png,36,27,17,123,0.5714,0.1214,1.35,6.52,5.28,2.82,2,5.2,4.7,5.2,5.2,5,Christian Schulte zu Berge;Maximilian Baust;Ankur Kapoor;Nassir Navab,Predicate-Based Focus-and-Context Visualization for 3D Ultrasound,http://dx.doi.org/10.1109/TVCG.2014.2346317,10.1109/TVCG.2014.2346317,2379,2387,2014
sci947.png,I1117,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci947.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci947.png,37,43,11,133,0.4625,0.0764,1.34,10.89,5.89,5.97,3,4.5,4.1,4.6,5.1,4.8,Monique Meuschke;Samuel Voß;Oliver Beuing;Bernhard Preim;Kai Lawonn,Combined Visualization of Vessel Deformation and Hemodynamics in Cerebral Aneurysms,http://dx.doi.org/10.1109/TVCG.2016.2598795,10.1109/TVCG.2016.2598795,761,770,2016
sci462.png,I1002,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci462.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci462.png,29,46,8,144,0.3867,0.0526,1.33,11.37,6.87,4.13,5,5.5,5.4,4.4,5.5,4.8,Daniela Ushizima;Dmitriy Morozov;Gunther H. Weber;Andrea Gomes Campos Bianchi;James A. Sethian;E. Wes Bethel,Augmented Topological Descriptors of Pore Networks for Material Science,http://dx.doi.org/10.1109/TVCG.2012.200,10.1109/TVCG.2012.200,2041,2050,2012
sci647.png,I1040,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci647.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci647.png,31,30,12,113,0.5082,0.096,1.33,13.81,7.29,6.96,2,5.5,4.8,4.7,5.5,5.7,Fan Hong;Chufan Lai;Hanqi Guo;Enya Shen;Xiaoru Yuan;Sikun Li,FLDA: Latent Dirichlet Allocation Based Unsteady Flow Analysis,http://dx.doi.org/10.1109/TVCG.2014.2346416,10.1109/TVCG.2014.2346416,2545,2554,2014
sci17.png,I916,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci17.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci17.png,35,44,11,142,0.443,0.0719,1.32,5.42,4.7,2.49,5,3.4,4.1,5.2,4.3,5.1,Wolfram von Funck;Tino Weinkauf;Holger Theisel;Hans-Peter Seidel,Smoke Surfaces: An Interactive Flow Visualization Technique Inspired by Real-World Flow Experiments,http://dx.doi.org/10.1109/TVCG.2008.163,10.1109/TVCG.2008.163,1396,1403,2008
sci686.png,I1049,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci686.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci686.png,30,31,12,122,0.4918,0.0896,1.32,7.82,3.95,4.29,2,4.5,5.3,4.9,4.5,5.2,Franz Sauer;Hongfeng Yu;Kwan-Liu Ma,Trajectory-Based Flow Feature Tracking in Joint Particle/Volume Datasets,http://dx.doi.org/10.1109/TVCG.2014.2346423,10.1109/TVCG.2014.2346423,2565,2574,2014
sci850.png,I1092,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci850.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci850.png,29,46,8,138,0.3867,0.0548,1.31,16.97,6.75,2.54,2,3.5,3.8,4.3,4.9,3.9,Ingo Wald;Aaron Knoll;Gregory P. Johnson;Will Usher;Valerio Pascucci;Michael E. Papka,CPU Ray Tracing Large Particle Data with Balanced P-k-d Trees,http://dx.doi.org/10.1109/SciVis.2015.7429492,10.1109/SciVis.2015.7429492,57,64,2015
