filename,url,data ink ratio,Number of distinct colors,Density,HR,FAR,Entropy,Feature congestion,meanH,meanS,meanV,colorfulness4,Number of edges,score,coarseness,contrast,directionality,0,L,C,H
vis618.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/vis618.png,1,2,1,63.95,9.8,2.76,6,0.0917,0.1581,0.9459,14.34,5.91,1.65,3.81,0.05,0.28,178,88.73453313,9.825754182,37.33062918
visMost187.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/visMost187.png,1,3,1,64.13,9.8,1.34,3.14,0.048,0.0638,0.9733,17.45,2.43,1.65,2.64,0.01,0.29,202,95.54227788,4.662894337,60.93644557
visMost376.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/visMost376.png,3,3,3,65.91,11,5.12,6.85,0.2589,0.3586,0.8774,9.22,9.91,1.64,3.45,0.06,0.29,220,78.41186476,3.663921593,345.6715456
wsj144.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/wsj144.png,1,2,1,62.79,9.47,4.35,4.38,0.3674,0.0583,0.952,8.51,6.97,1.64,3.94,0.01,0.27,335,93.31175116,1.240343462,251.0663388
wsj316.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/wsj316.png,2,2,3,59.77,8.25,6.23,4.79,0.2079,0.1677,0.3467,12.41,9.7,1.64,4.02,0.06,0.29,363,31.64735849,1.083517349,59.50172452
v483_n7387_7_f4.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/v483_n7387_7_f4.png,3,3,3,44.94,3.92,4.17,5.37,0.1958,0.1243,0.9242,16.42,4.51,1.63,4.03,0.02,0.31,86,89.27302293,6.975368787,91.98213423
v484_n7394_10_f4.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/v484_n7394_10_f4.png,2,3,3,44.83,3.88,4.57,6.58,0.2723,0.0494,0.893,13.91,8.04,1.63,3.93,0.02,0.3,99,88.72567861,3.330480741,133.9572095
v488_n7412_4_f1.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/v488_n7412_4_f1.png,2,2,2,40.23,3,3.53,5.36,0.1668,0.0285,0.9188,16.54,5.01,1.63,3.99,0.03,0.31,137,91.23458087,1.649131777,27.99859392
wsj561.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/wsj561.png,1,2,1,54.32,6.38,4.14,6.36,0.4059,0.035,0.9182,10.26,7.62,1.63,3.71,0.02,0.27,388,90.67537946,1.648000606,278.6538129
visMost255.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/visMost255.png,2,2,1,55.21,6.86,5.28,5.57,0.3145,0.5981,0.818,9.22,8.12,1.62,3.94,0.03,0.35,211,68.07282877,25.63384667,77.69501198
visMost357.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/visMost357.png,3,3,3,49.45,5.15,6.84,6.01,0.3682,0.2708,0.6313,9.23,6.58,1.62,3.99,0.09,0.31,217,62.19636421,11.79691639,171.0704186
wsj55.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/wsj55.png,1,2,2,50,5.26,3.84,5.58,0.5862,0.2671,0.841,13.34,6.03,1.62,3.97,0.06,0.29,385,78.43302295,9.764615798,247.7764807
vis409.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/vis409.png,3,3,3,56.25,7.37,6.33,6.65,0.4947,0.2385,0.7922,10.54,8.99,1.61,3.74,0.07,0.32,170,75.26592315,1.720525068,16.45915737
visMost456.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/visMost456.png,3,2,2,61.9,9.78,3.2,4.39,0.5393,0.859,0.4878,16.26,6.39,1.6,3.88,0.03,0.3,225,34.16385661,26.34344296,267.7879743
wsj529.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/wsj529.png,1,2,1,67.03,12.62,4.31,6.02,0.161,0.1323,0.8945,15.48,6.54,1.59,3.98,0.02,0.29,380,86.57052073,7.556887489,85.25526182
v484_n7395_11_f1.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/v484_n7395_11_f1.png,1,2,2,65.82,12.09,6.58,4.86,0.1905,0.1151,0.8218,14.21,9.18,1.58,4.12,0.02,0.3,104,81.61232291,8.447892184,108.8047365
v487_n7407_22_f2.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/v487_n7407_22_f2.png,1,2,1,74.73,18.37,3.67,5.47,0.1179,0.0653,0.8814,15.71,7.2,1.57,3.84,0.04,0.26,128,87.40189521,1.099440961,123.6583246
vis428.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/vis428.png,2,2,2,53.66,6.93,3.04,5.03,0.5674,0.7106,0.4811,15.39,6.08,1.57,3.9,0.03,0.3,173,31.84638925,30.17011468,282.1701745
wsj340.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/wsj340.png,2,2,2,68.18,13.98,3.93,4.44,0.1542,0.25,0.8757,14.21,4.91,1.55,3.96,0.03,0.27,364,81.0517791,16.9030066,71.73077725
v487_n7406_13_f2.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/v487_n7406_13_f2.png,2,3,3,47.87,5.56,1.99,3.84,0.066,0.0167,0.9708,17.28,4.3,1.54,2.92,0.01,0.29,125,96.67916178,0.629617227,31.48896356
economist_daily_chart_317.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/economist_daily_chart_317.png,1,2,1,72.41,17.53,3.36,4.01,0.4436,0.0821,0.8906,11.63,6.14,1.53,4.04,0.01,0.28,20,87.88939338,3.442352406,160.0931142
whoL12.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/whoL12.png,2,2,1,36.78,3.06,1.84,4.66,0.0405,0.0568,0.9675,16.94,4.91,1.53,3.51,0.01,0.3,295,95.95215095,4.331828461,101.6910113
economist_daily_chart_124.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/economist_daily_chart_124.png,1,1,1,73.26,18.81,4.1,4.8,0.0502,0.1842,0.8885,17.41,5.87,1.51,3.73,0.05,0.27,5,83.24058873,12.73919375,46.8523158
treasuryB10.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/treasuryB10.png,3,2,2,40.22,3.96,2.68,5.89,0.0297,0.0313,0.93,17.2,6.71,1.51,3.51,0.02,0.28,59,92.22060734,1.134623744,4.111269333
vis230.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/vis230.png,3,3,2,51.76,7.07,2.97,5,0.0908,0.1622,0.9534,15.99,5.83,1.51,4.02,0.02,0.3,162,92.45493804,12.41657493,89.94345649
wsj270.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/wsj270.png,1,2,2,74.7,20,3.69,4.7,0.1378,0.1049,0.921,17.06,4.77,1.51,4,0.02,0.29,353,89.93973299,7.214724953,87.26469701
